Dataset,Iteration,ST-MMMF_MAE,ST-MMMF_RMSE,SVD_MAE,SVD_RMSE,NMF_MAE,NMF_RMSE,SVD++_MAE,SVD++_RMSE,Co-Clustering_MAE,Co-Clustering_RMSE
100K,1,0.686216667,0.988650993,0.701083333,0.978724734,1.778216667,2.151216891,0.684583333,0.963635766,0.9689,1.292001461
100K,2,0.717366667,1.023140546,0.704633333,0.986727529,1.750933333,2.126766149,0.689866667,0.973518471,0.970433333,1.292305258
100K,3,0.74115,1.049046577,0.7129,0.997543675,1.753666667,2.128082623,0.6983,0.985690732,1.191466667,1.542851948
100K,4,0.757333333,1.066875621,0.719566667,1.007584461,1.754933333,2.131481433,0.70915,0.999087272,1.471316667,1.853151855
100K,5,0.767333333,1.0772572,0.727133333,1.017226596,1.7473,2.121402952,0.718083333,1.010163544,1.23005,1.581218229
100K,6,0.778583333,1.088639374,0.73465,1.026758203,1.735766667,2.111819806,0.726266667,1.019974591,1.010733333,1.349497528
100K,7,0.785366667,1.09480164,0.7438,1.038007098,1.74145,2.117104134,0.735166667,1.030839074,1.230516667,1.589692074
100K,8,0.791916667,1.101018321,0.74985,1.04604645,1.758533333,2.130949098,0.7412,1.038327189,1.471466667,1.853435519
100K,9,0.797066667,1.106538283,0.757133333,1.054639237,1.722616667,2.096962148,0.749683333,1.048111903,1.4715,1.853498756
100K,10,0.798666667,1.10848144,0.762466667,1.060878745,1.724416667,2.100620822,0.754083333,1.053695096,1.230933333,1.590079366
100K,11,0.7993,1.109443049,0.7658,1.065394003,1.7281,2.104317046,0.758733333,1.059569228,1.232533333,1.593132333
100K,12,0.79935,1.109570494,0.769066667,1.069967043,1.707416667,2.083005123,0.762683333,1.063721847,1.471533333,1.853561824
100K,13,0.7995,1.109743203,0.771633333,1.073343248,1.715033333,2.091176794,0.7651,1.067326304,1.471533333,1.853561824
100K,14,0.799533333,1.109833334,0.774083333,1.076389184,1.710516667,2.084903954,0.76825,1.07123435,1.471533333,1.853561824
100K,15,0.799533333,1.109833334,0.775766667,1.079011234,1.687266667,2.063445661,0.7704,1.073910698,1.471533333,1.853561824
100K,16,0.799533333,1.109833334,0.777433333,1.081094023,1.733266667,2.106621067,0.771416667,1.075394446,1.471533333,1.853561824
100K,17,0.799533333,1.109773145,0.778533333,1.082542713,1.6944,2.070643433,0.773333333,1.077631139,1.471533333,1.853561824
100K,18,0.7996,1.109953681,0.78095,1.085578948,1.69285,2.069329921,0.775633333,1.080814116,1.471533333,1.853561824
100K,19,0.7996,1.109953681,0.782333333,1.087167006,1.685633333,2.064591321,0.777733333,1.082524074,1.471533333,1.853561824
100K,20,0.7996,1.109953681,0.783166667,1.088438524,1.69025,2.067799879,0.778833333,1.083861949,1.471533333,1.853561824
100K,21,0.7996,1.109953681,0.784433333,1.089631189,1.683733333,2.062157141,0.77935,1.085160061,1.471533333,1.853561824
100K,22,0.7996,1.109953681,0.785016667,1.090664346,1.68105,2.05767218,0.780633333,1.086718884,1.471533333,1.853561824
100K,23,0.7996,1.109953681,0.786033333,1.091923814,1.66885,2.047649257,0.781233333,1.087257507,1.471533333,1.853561824
100K,24,0.7996,1.109953681,0.7875,1.093602094,1.687633333,2.0648109,0.782583333,1.08874728,1.471533333,1.853561824
100K,25,0.7996,1.109953681,0.788,1.094531246,1.688366667,2.063717671,0.78375,1.090020018,1.471533333,1.853561824
100K,26,0.7996,1.109953681,0.789083333,1.095878411,1.659033333,2.034382886,0.78565,1.092051768,1.471533333,1.853561824
100K,27,0.7996,1.109953681,0.789783333,1.096805423,1.67725,2.052516889,0.786066667,1.092789115,1.471533333,1.853561824
100K,28,0.7996,1.109953681,0.790383333,1.097489443,1.6694,2.045100096,0.787,1.093828065,1.471533333,1.853561824
100K,29,0.7996,1.109953681,0.790966667,1.098483153,1.6436,2.019922074,0.787516667,1.094337889,1.471533333,1.853561824
100K,30,0.7996,1.109953681,0.791533333,1.098877892,1.64945,2.027009979,0.788216667,1.095601976,1.471533333,1.853561824
100K,31,0.7996,1.109953681,0.792183333,1.099885932,1.651433333,2.028443728,0.788583333,1.096224959,1.471533333,1.853561824
100K,32,0.7996,1.109953681,0.792666667,1.100499311,1.678933333,2.05602314,0.788983333,1.096602785,1.471533333,1.853561824
100K,33,0.7996,1.109953681,0.79295,1.101021845,1.6411,2.016946814,0.789633333,1.097357694,1.471533333,1.853561824
100K,34,0.7996,1.109953681,0.7934,1.10161949,1.670633333,2.047369659,0.790116667,1.097850194,1.471533333,1.853561824
100K,35,0.7996,1.109953681,0.7936,1.101846292,1.648866667,2.027308178,0.790816667,1.098881626,1.471533333,1.853561824
100K,36,0.7996,1.109953681,0.794066667,1.102345025,1.639216667,2.015400496,0.791183333,1.099563314,1.4676,1.847041621
